target,childRisks
http://bods.openownership.org/resource/openownership-register-11391273364882609214,crime
http://bods.openownership.org/resource/openownership-register-336240486155838954,crime
http://bods.openownership.org/resource/openownership-register-13138379236542245540,crime
http://bods.openownership.org/resource/openownership-register-814492820878056194,crime
http://bods.openownership.org/resource/openownership-register-196640988858686843,crime
http://bods.openownership.org/resource/openownership-register-12477769569152185245,crime
http://bods.openownership.org/resource/openownership-register-3981231484366265440,sanction
http://bods.openownership.org/resource/openownership-register-8182408225232192675,crime
http://bods.openownership.org/resource/openownership-register-9063490210688756504,sanction
http://bods.openownership.org/resource/openownership-register-3639458057936416693,sanction
http://bods.openownership.org/resource/openownership-register-12864775604563614624,sanction
http://bods.openownership.org/resource/openownership-register-17699234893392596226,sanction
http://bods.openownership.org/resource/openownership-register-947261367164655864,crime
http://bods.openownership.org/resource/openownership-register-11845987280491743840,crime
http://bods.openownership.org/resource/openownership-register-8701109621303542528,crime
http://bods.openownership.org/resource/openownership-register-5570940288726874684,crime
http://bods.openownership.org/resource/openownership-register-11235593199320356265,sanction
http://bods.openownership.org/resource/openownership-register-14785217239595106096,sanction
http://bods.openownership.org/resource/openownership-register-2264222195004517509,sanction
http://bods.openownership.org/resource/openownership-register-11569697680243216145,sanction
http://bods.openownership.org/resource/openownership-register-17317113621852010712,crime
http://bods.openownership.org/resource/openownership-register-9473461986578859078,crime
http://bods.openownership.org/resource/openownership-register-2086517531603689115,crime
http://bods.openownership.org/resource/openownership-register-14465407156774602364,crime
http://bods.openownership.org/resource/openownership-register-15730600294407583549,crime
http://bods.openownership.org/resource/openownership-register-14276310936872883464,crime
http://bods.openownership.org/resource/openownership-register-5015165589385834463,crime
http://bods.openownership.org/resource/openownership-register-16786512705529008362,crime
http://bods.openownership.org/resource/openownership-register-8543871836578767969,sanction
http://bods.openownership.org/resource/openownership-register-9969261864062538348,sanction
http://bods.openownership.org/resource/openownership-register-6636812239700311213,crime
http://bods.openownership.org/resource/openownership-register-16064734055811167046,crime
http://bods.openownership.org/resource/openownership-register-6542712999366542550,crime
http://bods.openownership.org/resource/openownership-register-416970232372039673,crime
http://bods.openownership.org/resource/openownership-register-11900545795752882310,crime
http://bods.openownership.org/resource/openownership-register-10291754865906144727,crime
http://bods.openownership.org/resource/openownership-register-9656013557222565766,sanction
http://bods.openownership.org/resource/openownership-register-10898165813071645016,sanction
http://bods.openownership.org/resource/openownership-register-15199778979940355609,sanction
http://bods.openownership.org/resource/openownership-register-11352394590115883975,sanction
http://bods.openownership.org/resource/openownership-register-13172435998406153119,debarment
http://bods.openownership.org/resource/openownership-register-2581632088749975304,debarment
http://bods.openownership.org/resource/openownership-register-8433671887059195240,crime
http://bods.openownership.org/resource/openownership-register-14067063869305025891,crime
http://bods.openownership.org/resource/openownership-register-17683848594065067932,crime
http://bods.openownership.org/resource/openownership-register-17206313932437444380,crime
http://bods.openownership.org/resource/openownership-register-8280838753248220347,crime
http://bods.openownership.org/resource/openownership-register-3162771155549093275,crime
http://bods.openownership.org/resource/openownership-register-18234184719779920165,crime
http://bods.openownership.org/resource/openownership-register-992358314465445799,crime
http://bods.openownership.org/resource/openownership-register-8212850374533755785,sanction
http://bods.openownership.org/resource/openownership-register-13457270552127925345,sanction
http://bods.openownership.org/resource/openownership-register-11079554835214170495,sanction
http://bods.openownership.org/resource/openownership-register-2611690143256658182,sanction
http://bods.openownership.org/resource/openownership-register-3461125212194234827,sanction
http://bods.openownership.org/resource/openownership-register-877746981461361969,sanction
http://bods.openownership.org/resource/openownership-register-13821258572178884160,sanction
http://bods.openownership.org/resource/openownership-register-4036281204325803654,sanction
http://bods.openownership.org/resource/openownership-register-3591295837372165297,sanction
http://bods.openownership.org/resource/openownership-register-17810523216662576135,sanction
http://bods.openownership.org/resource/openownership-register-11316188073983029107,sanction
http://bods.openownership.org/resource/openownership-register-17077490594755357602,sanction
http://bods.openownership.org/resource/openownership-register-5417201805363778471,crime
http://bods.openownership.org/resource/openownership-register-16471629342037556223,crime
http://bods.openownership.org/resource/openownership-register-6330305383206656340,sanction
http://bods.openownership.org/resource/openownership-register-13690036544142144433,sanction
http://bods.openownership.org/resource/openownership-register-7296104770857139282,crime
http://bods.openownership.org/resource/openownership-register-1946143389333491014,crime
http://bods.openownership.org/resource/openownership-register-18361829690543302543,crime
http://bods.openownership.org/resource/openownership-register-17504820191589435023,crime
http://bods.openownership.org/resource/openownership-register-16722856282267273728,crime
http://bods.openownership.org/resource/openownership-register-8383338316814031672,crime
http://bods.openownership.org/resource/openownership-register-6816091739612600713,crime
http://bods.openownership.org/resource/openownership-register-12793025140075999148,sanction
http://bods.openownership.org/resource/openownership-register-12572412566438988192,sanction
http://bods.openownership.org/resource/openownership-register-6786039244365534558,sanction
http://bods.openownership.org/resource/openownership-register-119591992611686450,crime
http://bods.openownership.org/resource/openownership-register-10180269220457356027,crime
http://bods.openownership.org/resource/openownership-register-511605426850641001,crime
http://bods.openownership.org/resource/openownership-register-14711154795017447510,crime
http://bods.openownership.org/resource/openownership-register-10723580322973409187,crime
http://bods.openownership.org/resource/openownership-register-3665856034558728997,crime
http://bods.openownership.org/resource/openownership-register-12897703334508932573,crime
http://bods.openownership.org/resource/openownership-register-16892540520994522200,crime
http://bods.openownership.org/resource/openownership-register-12429159014642173180,sanction
http://bods.openownership.org/resource/openownership-register-13145247988184226903,sanction
http://bods.openownership.org/resource/openownership-register-6401628072184818607,sanction
http://bods.openownership.org/resource/openownership-register-2441336187519938942,crime
http://bods.openownership.org/resource/openownership-register-13131792456119773864,sanction
http://bods.openownership.org/resource/openownership-register-12124711520186883885,debarment
http://bods.openownership.org/resource/openownership-register-7309231093366347355,debarment
http://bods.openownership.org/resource/openownership-register-234074146369218918,debarment
http://bods.openownership.org/resource/openownership-register-11437190084736164890,sanction
http://bods.openownership.org/resource/openownership-register-11213837844463470457,sanction
http://bods.openownership.org/resource/openownership-register-9470831009736577135,sanction
http://bods.openownership.org/resource/openownership-register-9644819215581189408,sanction
http://bods.openownership.org/resource/openownership-register-4711310177064821261,sanction
http://bods.openownership.org/resource/openownership-register-14753127133830858557,sanction
http://bods.openownership.org/resource/openownership-register-4207427198111355909,sanction
http://bods.openownership.org/resource/openownership-register-16169134351834380193,sanction
http://bods.openownership.org/resource/openownership-register-7393491446859361736,sanction
http://bods.openownership.org/resource/openownership-register-16647606588765542710,sanction
http://bods.openownership.org/resource/openownership-register-12296074521957822853,sanction
http://bods.openownership.org/resource/openownership-register-1568191294998155061,crime
http://bods.openownership.org/resource/openownership-register-2973469330723902097,crime
http://bods.openownership.org/resource/openownership-register-5557847501842055374,crime
http://bods.openownership.org/resource/openownership-register-14261515369918741138,sanction
http://bods.openownership.org/resource/openownership-register-13719208829992253402,sanction
http://bods.openownership.org/resource/openownership-register-4814135348896346705,sanction
http://bods.openownership.org/resource/openownership-register-15126769885058860009,sanction
http://bods.openownership.org/resource/openownership-register-9407600874051613450,sanction
http://bods.openownership.org/resource/openownership-register-6134274509222355733,sanction
http://bods.openownership.org/resource/openownership-register-4982271911653944713,sanction
http://bods.openownership.org/resource/openownership-register-12799346098136399258,sanction
http://bods.openownership.org/resource/openownership-register-650128810572371066,crime
http://bods.openownership.org/resource/openownership-register-6695479877954262929,crime
http://bods.openownership.org/resource/openownership-register-8114043558067754035,sanction
http://bods.openownership.org/resource/openownership-register-4930001739424649704,crime
http://bods.openownership.org/resource/openownership-register-6903082557301253568,crime
http://bods.openownership.org/resource/openownership-register-7007725147370183771,crime
http://bods.openownership.org/resource/openownership-register-6975395623391131480,crime
http://bods.openownership.org/resource/openownership-register-13209193044763390853,crime
http://bods.openownership.org/resource/openownership-register-9580687501341030239,crime
http://bods.openownership.org/resource/openownership-register-10208213752779316298,crime
http://bods.openownership.org/resource/openownership-register-290995510469316342,crime
http://bods.openownership.org/resource/openownership-register-16562710797433333295,crime
http://bods.openownership.org/resource/openownership-register-13195821734230269899,crime
http://bods.openownership.org/resource/openownership-register-7869061295807033685,crime
http://bods.openownership.org/resource/openownership-register-12620386606672242694,crime
http://bods.openownership.org/resource/openownership-register-475243984237494307,crime
http://bods.openownership.org/resource/openownership-register-13711309237045564249,crime
http://bods.openownership.org/resource/openownership-register-3645593125658857690,crime
http://bods.openownership.org/resource/openownership-register-7193341540486131914,crime
http://bods.openownership.org/resource/openownership-register-11007298458907474398,crime
http://bods.openownership.org/resource/openownership-register-5174255553639269065,sanction
http://bods.openownership.org/resource/openownership-register-9906873506969418856,crime
http://bods.openownership.org/resource/openownership-register-16876960417711221136,crime
