target,uboRelativeRisks
http://bods.openownership.org/resource/openownership-register-3799035183486920057,sanction
http://bods.openownership.org/resource/openownership-register-15552085270517569007,sanction
http://bods.openownership.org/resource/openownership-register-10972376482948066724,sanction
http://bods.openownership.org/resource/openownership-register-4644485803781253984,sanction
http://bods.openownership.org/resource/openownership-register-2430353875361722489,sanction
http://bods.openownership.org/resource/openownership-register-5235670177730092706,sanction
http://bods.openownership.org/resource/openownership-register-3744925173188199607,sanction
http://bods.openownership.org/resource/openownership-register-9373496262567599120,sanction
http://bods.openownership.org/resource/openownership-register-14780664278908260443,sanction
http://bods.openownership.org/resource/openownership-register-12175581182047476999,"role.rca,role.pep,role.diplo"
http://bods.openownership.org/resource/openownership-register-13320726517544098931,"sanction,role.rca,role.oligarch"
http://bods.openownership.org/resource/openownership-register-5897007442809849992,"sanction,role.rca,role.oligarch"
http://bods.openownership.org/resource/openownership-register-10703134263789374260,"role.rca,role.pep,mil"
http://bods.openownership.org/resource/openownership-register-222042010185691592,"role.rca,role.pep,mil"
http://bods.openownership.org/resource/openownership-register-9596875919157106763,"crime,role.rca"
